Date,LakeLevel(ft)
4/17/1999,4203.3
4/18/1999,4203.3
4/19/1999,4203.3
4/20/1999,4203.3
4/21/1999,4203.3
4/22/1999,4203.4
4/23/1999,4203.3
4/24/1999,4203.3
4/25/1999,4203.3
4/26/1999,4203.3
4/27/1999,4203.3
4/28/1999,4203.4
4/29/1999,4203.4
4/30/1999,4203.5
5/1/1999,4203.5
5/2/1999,4203.5
5/3/1999,4203.6
5/4/1999,4203.8
5/5/1999,4203.7
5/6/1999,4203.6
5/7/1999,4203.6
5/8/1999,4203.7
5/9/1999,4203.8
5/10/1999,4203.7
5/11/1999,4203.7
5/12/1999,4203.7
5/13/1999,4203.8
5/14/1999,4203.9
5/15/1999,4203.9
5/16/1999,4203.8
5/17/1999,4203.8
5/18/1999,4203.8
5/19/1999,4203.9
5/20/1999,4203.9
5/21/1999,4203.9
5/22/1999,4203.9
5/23/1999,4203.9
5/24/1999,4203.9
5/25/1999,4203.9
5/26/1999,4203.9
5/27/1999,4203.9
5/28/1999,4203.9
5/29/1999,4203.9
5/30/1999,4204
5/31/1999,4204
6/1/1999,4203.9
6/2/1999,4203.7
6/3/1999,4203.8
6/4/1999,4203.9
6/5/1999,4204
6/6/1999,4204
6/7/1999,4204
6/8/1999,4204.2
6/9/1999,4204.2
6/10/1999,4204.1
6/11/1999,4204.1
6/12/1999,4204.1
6/13/1999,4204.1
6/14/1999,4204.1
6/15/1999,4204.2
6/16/1999,4204.1
6/17/1999,4204.1
6/18/1999,4204.1
6/19/1999,4204.1
6/20/1999,4204.1
6/21/1999,4204.1
6/22/1999,4204.1
6/23/1999,4204.1
6/24/1999,4204.1
6/25/1999,4204.1
6/26/1999,4204.1
6/27/1999,4204.1
6/28/1999,4204.1
6/29/1999,4204
6/30/1999,4204
7/1/1999,4204
7/2/1999,4204
7/3/1999,4203.9
7/4/1999,4203.9
7/5/1999,4204
7/6/1999,4203.9
7/7/1999,4203.8
7/8/1999,4203.9
7/9/1999,4203.8
7/10/1999,4203.8
7/11/1999,4203.8
7/12/1999,4203.8
7/13/1999,4203.7
7/14/1999,4203.7
7/15/1999,4203.7
7/16/1999,4203.6
7/17/1999,4203.7
7/18/1999,4203.6
7/19/1999,4203.6
7/20/1999,4203.6
7/21/1999,4203.6
7/22/1999,4203.6
7/23/1999,4203.6
7/24/1999,4203.5
7/25/1999,4203.6
7/26/1999,4203.5
7/27/1999,4203.4
7/28/1999,4203.4
7/29/1999,4203.4
7/30/1999,4203.3
7/31/1999,4203.4
8/1/1999,4203.4
8/2/1999,4203.3
8/3/1999,4203.3
8/4/1999,4203.3
8/5/1999,4203.3
8/6/1999,4203.2
8/7/1999,4203.2
8/8/1999,4203.2
8/9/1999,4203.2
8/10/1999,4203.2
8/11/1999,4203.2
8/12/1999,4203.1
8/13/1999,4203.1
8/14/1999,4203
8/15/1999,4203.1
8/16/1999,4203.1
8/17/1999,4203.1
8/18/1999,4203.1
8/19/1999,4203
8/20/1999,4203
8/21/1999,4203
8/22/1999,4203
8/23/1999,4203
8/24/1999,4203
8/25/1999,4203
8/26/1999,4203
8/27/1999,4203
8/28/1999,4202.9
8/29/1999,4202.9
8/30/1999,4202.8
8/31/1999,4202.9
9/1/1999,4202.9
9/2/1999,4202.9
9/3/1999,4202.8
9/4/1999,4202.8
9/5/1999,4202.8
9/6/1999,4202.8
9/7/1999,4202.8
9/8/1999,4202.8
9/9/1999,4202.7
9/10/1999,4202.7
9/11/1999,4202.7
9/12/1999,4202.7
9/13/1999,4202.7
9/14/1999,4202.7
9/15/1999,4202.7
9/16/1999,4202.7
9/17/1999,4202.7
9/18/1999,4202.6
9/19/1999,4202.6
9/20/1999,4202.6
9/21/1999,4202.6
9/22/1999,4202.6
9/23/1999,4202.6
9/24/1999,4202.6
9/25/1999,4202.6
9/26/1999,4202.6
9/27/1999,4202.6
9/28/1999,4202.6
9/29/1999,4202.5
9/30/1999,4202.5
10/1/1999,4202.5
10/2/1999,4202.5
10/3/1999,4202.5
10/4/1999,4202.5
10/5/1999,4202.5
10/6/1999,4202.6
10/7/1999,4202.5
10/8/1999,4202.4
10/9/1999,4202.4
10/10/1999,4202.4
10/11/1999,4202.4
10/12/1999,4202.4
10/13/1999,4202.4
10/14/1999,4202.4
10/15/1999,4202.5
10/16/1999,4202.5
10/17/1999,4202.4
10/18/1999,4202.4
10/19/1999,4202.4
10/20/1999,4202.4
10/21/1999,4202.4
10/22/1999,4202.4
10/23/1999,4202.4
10/24/1999,4202.4
10/25/1999,4202.4
10/26/1999,4202.4
10/27/1999,4202.4
10/28/1999,4202.4
10/29/1999,4202.4
10/30/1999,4202.3
10/31/1999,4202.3
11/1/1999,4202.4
11/2/1999,4202.3
11/3/1999,4202.3
11/4/1999,4202.3
11/5/1999,4202.3
11/6/1999,4202.3
11/7/1999,4202.3
11/8/1999,4202.3
11/9/1999,4202.3
11/10/1999,4202.3
11/11/1999,4202.3
11/12/1999,4202.3
11/13/1999,4202.3
11/14/1999,4202.3
11/15/1999,4202.3
11/16/1999,4202.3
11/17/1999,4202.5
11/18/1999,4202.4
11/19/1999,4202.3
11/20/1999,4202.3
11/21/1999,4202.4
11/22/1999,4202.4
11/23/1999,4202.3
11/24/1999,4202.3
11/25/1999,4202.3
11/26/1999,4202.3
11/27/1999,4202.4
11/28/1999,4202.4
11/29/1999,4202.4
11/30/1999,4202.3
12/1/1999,4202.4
12/2/1999,4202.4
12/3/1999,4202.5
12/4/1999,4202.4
12/5/1999,4202.4
12/6/1999,4202.4
12/7/1999,4202.4
12/8/1999,4202.5
12/9/1999,4202.4
12/10/1999,4202.5
12/11/1999,4202.4
12/12/1999,4202.4
12/13/1999,4202.6
12/14/1999,4202.4
12/15/1999,4202.4
12/16/1999,4202.4
12/17/1999,4202.4
12/18/1999,4202.5
12/19/1999,4202.4
12/20/1999,4202.4
12/21/1999,4202.5
12/22/1999,4202.4
12/23/1999,4202.4
12/24/1999,4202.4
12/25/1999,4202.5
12/26/1999,4202.5
12/27/1999,4202.5
12/28/1999,4202.5
12/29/1999,4202.5
12/30/1999,4202.5
12/31/1999,4202.5
1/1/2000,4202.5
1/2/2000,4202.5
1/3/2000,4202.5
1/4/2000,4202.4
1/5/2000,4202.5
1/6/2000,4202.5
1/7/2000,4202.5
1/8/2000,4202.5
1/9/2000,4202.5
1/10/2000,4202.5
1/11/2000,4202.5
1/12/2000,4202.5
1/13/2000,4202.5
1/14/2000,4202.5
1/15/2000,4202.5
1/16/2000,4202.5
1/17/2000,4202.6
1/18/2000,4202.6
1/19/2000,4202.6
1/20/2000,4202.6
1/21/2000,4202.6
1/22/2000,4202.6
1/23/2000,4202.6
1/24/2000,4202.7
1/25/2000,4202.7
1/26/2000,4202.8
1/27/2000,4202.8
1/28/2000,4202.8
1/29/2000,4202.7
1/30/2000,4202.7
1/31/2000,4202.8
2/1/2000,4202.8
2/2/2000,4202.8
2/3/2000,4202.8
2/4/2000,4202.8
2/5/2000,4202.8
2/6/2000,4202.8
2/7/2000,4202.8
2/8/2000,4202.8
2/9/2000,4202.8
2/10/2000,4202.8
2/11/2000,4202.8
2/12/2000,4202.8
2/13/2000,4202.8
2/14/2000,4202.8
2/15/2000,4202.9
2/16/2000,4202.9
2/17/2000,4203
2/18/2000,4203
2/19/2000,4203
2/20/2000,4203
2/21/2000,4203
2/22/2000,4203
2/23/2000,4203
2/24/2000,4203.2
2/25/2000,4203.1
2/26/2000,4203.1
2/27/2000,4203.1
2/28/2000,4203.1
2/29/2000,4203.1
3/1/2000,4203.2
3/2/2000,4203.2
3/3/2000,4203.2
3/4/2000,4203.2
3/5/2000,4203.1
3/6/2000,4203.2
3/7/2000,4203.2
3/8/2000,4203.2
3/9/2000,4203.2
3/10/2000,4203.2
3/11/2000,4203.2
3/12/2000,4203.2
3/13/2000,4203.2
3/14/2000,4203.2
3/15/2000,4203.4
3/16/2000,4203.3
3/17/2000,4203.4
3/18/2000,4203.3
3/19/2000,4203.4
3/20/2000,4203.6
3/21/2000,4203.4
3/22/2000,4203.3
3/23/2000,4203.3
3/24/2000,4203.3
3/25/2000,4203.3
3/26/2000,4203.3
3/27/2000,4203.3
3/28/2000,4203.4
3/29/2000,4203.4
3/30/2000,4203.5
3/31/2000,4203.5
4/1/2000,4203.4
4/2/2000,4203.3
4/3/2000,4203.4
4/4/2000,4203.3
4/5/2000,4203.3
4/6/2000,4203.3
4/7/2000,4203.4
4/8/2000,4203.3
4/9/2000,4203.4
4/10/2000,4203.4
4/11/2000,4203.3
4/12/2000,4203.3
4/13/2000,4203.3
4/14/2000,4203.4
4/15/2000,4203.4
4/16/2000,4203.3
4/17/2000,4203.3
4/18/2000,4203.2
4/19/2000,4203.3
4/20/2000,4203.3
4/21/2000,4203.3
4/22/2000,4203.3
4/23/2000,4203.4
4/24/2000,4203.4
4/25/2000,4203.3
4/26/2000,4203.3
4/27/2000,4203.3
4/28/2000,4203.4
4/29/2000,4203.4
4/30/2000,4203.3
5/1/2000,4203.3
5/2/2000,4203.3
5/3/2000,4203.3
5/4/2000,4203.3
5/5/2000,4203.4
5/6/2000,4203.3
5/7/2000,4203.3
5/8/2000,4203.2
5/9/2000,4203.2
5/10/2000,4203.3
5/11/2000,4203.3
5/12/2000,4203.2
5/13/2000,4203.2
5/14/2000,4203.2
5/15/2000,4203.1
5/16/2000,4203
5/17/2000,4203.1
5/18/2000,4203.1
5/19/2000,4203.1
5/20/2000,4203.1
5/21/2000,4203.1
5/22/2000,4203.1
5/23/2000,4203.1
5/24/2000,4203.1
5/25/2000,4203.1
5/26/2000,4203.1
5/27/2000,4203.1
5/28/2000,4203.1
5/29/2000,4203.1
5/30/2000,4203.1
5/31/2000,4203.2
6/1/2000,4203.1
6/2/2000,4203
6/3/2000,4203
6/4/2000,4203
6/5/2000,4203
6/6/2000,4203
6/7/2000,4202.9
6/8/2000,4202.7
6/9/2000,4202.9
6/10/2000,4202.8
6/11/2000,4202.9
6/12/2000,4202.9
6/13/2000,4202.8
6/14/2000,4202.8
6/15/2000,4202.9
6/16/2000,4202.9
6/17/2000,4202.7
6/18/2000,4202.6
6/19/2000,4202.7
6/20/2000,4202.7
6/21/2000,4202.6
6/22/2000,4202.6
6/23/2000,4202.6
6/24/2000,4202.6
6/25/2000,4202.5
6/26/2000,4202.5
6/27/2000,4202.5
6/28/2000,4202.5
6/29/2000,4202.5
6/30/2000,4202.4
7/1/2000,4202.4
7/2/2000,4202.4
7/3/2000,4202.3
7/4/2000,4202.4
7/5/2000,4202.3
7/6/2000,4202.3
7/7/2000,4202.3
7/8/2000,4202.2
7/9/2000,4202.2
7/10/2000,4202.2
7/11/2000,4202.2
7/12/2000,4202.2
7/13/2000,4202.2
7/14/2000,4202.2
7/15/2000,4202.2
7/16/2000,4202.1
7/17/2000,4202.2
7/18/2000,4202.2
7/19/2000,4202.1
7/20/2000,4202.1
7/21/2000,4202.1
7/22/2000,4202
7/23/2000,4202
7/24/2000,4202
7/25/2000,4202
7/26/2000,4201.9
7/27/2000,4202
7/28/2000,4201.9
7/29/2000,4201.9
7/30/2000,4201.9
7/31/2000,4201.9
8/1/2000,4201.9
8/2/2000,4201.9
8/3/2000,4201.8
8/4/2000,4201.8
8/5/2000,4201.8
8/6/2000,4201.8
8/7/2000,4201.8
8/8/2000,4201.7
8/9/2000,4201.7
8/10/2000,4201.7
8/11/2000,4201.7
8/12/2000,4201.7
8/13/2000,4201.6
8/14/2000,4201.6
8/15/2000,4201.5
8/16/2000,4201.5
8/17/2000,4201.5
8/18/2000,4201.4
8/19/2000,4201.4
8/20/2000,4201.5
8/21/2000,4201.5
8/22/2000,4201.4
8/23/2000,4201.4
8/24/2000,4201.4
8/25/2000,4201.4
8/26/2000,4201.3
8/27/2000,4201.3
8/28/2000,4201.3
8/29/2000,4201.3
8/30/2000,4201.3
8/31/2000,4201.4
9/1/2000,4201.4
9/2/2000,4201.3
9/3/2000,4201.4
9/4/2000,4201.3
9/5/2000,4201.4
9/6/2000,4201.4
9/7/2000,4201.3
9/8/2000,4201.3
9/9/2000,4201.3
9/10/2000,4201.3
9/11/2000,4201.3
9/12/2000,4201.3
9/13/2000,4201.3
9/14/2000,4201.3
9/15/2000,4201.2
9/16/2000,4201.2
9/17/2000,4201.3
9/18/2000,4201.2
9/19/2000,4201.3
9/20/2000,4201.3
9/21/2000,4201.2
9/22/2000,4201.2
9/23/2000,4201.3
9/24/2000,4201.2
9/25/2000,4201.2
9/26/2000,4201.2
9/27/2000,4201.1
9/28/2000,4201.1
9/29/2000,4201.1
9/30/2000,4201.1
10/1/2000,4201.1
10/2/2000,4201.1
10/3/2000,4201.2
10/4/2000,4201.1
10/5/2000,4201.1
10/6/2000,4201.1
10/7/2000,4201.1
10/8/2000,4201.1
10/9/2000,4201
10/10/2000,4200.9
10/11/2000,4200.9
10/12/2000,4201
10/13/2000,4201
10/14/2000,4201
10/15/2000,4201
10/16/2000,4201
10/17/2000,4201
10/18/2000,4201
10/19/2000,4201
10/20/2000,4201
10/21/2000,4201.1
10/22/2000,4201.2
10/23/2000,4201
10/24/2000,4201
10/25/2000,4201
10/26/2000,4200.9
10/27/2000,4201
10/28/2000,4201
10/29/2000,4201
10/30/2000,4201.1
10/31/2000,4201.3
11/1/2000,4201.2
11/2/2000,4201.1
11/3/2000,4201.1
11/4/2000,4201.1
11/5/2000,4201.2
11/6/2000,4201.1
11/7/2000,4201.1
11/8/2000,4201
11/9/2000,4201.1
11/10/2000,4201.1
11/11/2000,4201.1
11/12/2000,4201.1
11/13/2000,4201
11/14/2000,4201.1
11/15/2000,4201.1
11/16/2000,4201.1
11/17/2000,4201.1
11/18/2000,4201
11/19/2000,4201.1
11/20/2000,4201.1
11/21/2000,4201.1
11/22/2000,4201.1
11/23/2000,4201.1
11/24/2000,4201
11/25/2000,4201
11/26/2000,4201
11/27/2000,4201
11/28/2000,4201.1
11/29/2000,4201.1
11/30/2000,4201.1
12/1/2000,4201.1
12/2/2000,4201.1
12/3/2000,4201.1
12/4/2000,4201.1
12/5/2000,4201.1
12/6/2000,4201.1
12/7/2000,4201.1
12/8/2000,4201.1
12/9/2000,4201.1
12/10/2000,4201.2
12/11/2000,4201.1
12/12/2000,4201.1
12/13/2000,4201.1
12/14/2000,4201.1
12/15/2000,4201.2
12/16/2000,4201.1
12/17/2000,4201.3
12/18/2000,4201.1
12/19/2000,4201.1
12/20/2000,4201.1
12/21/2000,4201.1
12/22/2000,4201.1
12/23/2000,4201.1
12/24/2000,4201.2
12/25/2000,4201.2
12/26/2000,4201.2
12/27/2000,4201.2
12/28/2000,4201.2
12/29/2000,4201.2
12/30/2000,4201.2
12/31/2000,4201.2
1/1/2001,4201.2
1/2/2001,4201.2
1/3/2001,4201.2
1/4/2001,4201.2
1/5/2001,4201.2
1/6/2001,4201.2
1/7/2001,4201.2
1/8/2001,4201.2
1/9/2001,4201.2
1/10/2001,4201.2
1/11/2001,4201.1
1/12/2001,4201.2
1/13/2001,4201.2
1/14/2001,4201.2
1/15/2001,4201.3
1/16/2001,4201.3
1/17/2001,4201.3
1/18/2001,4201.2
1/19/2001,4201.2
1/20/2001,4201.2
1/21/2001,4201.2
1/22/2001,4201.2
1/23/2001,4201.2
1/24/2001,4201.2
1/25/2001,4201.2
1/26/2001,4201.2
1/27/2001,4201.3
1/28/2001,4201.3
1/29/2001,4201.2
1/30/2001,4201.3
1/31/2001,4201.2
2/1/2001,4201.2
2/2/2001,4201.2
2/3/2001,4201.2
2/4/2001,4201.2
2/5/2001,4201.2
2/6/2001,4201.3
2/7/2001,4201.4
2/8/2001,4201.4
2/9/2001,4201.3
2/10/2001,4201.3
2/11/2001,4201.3
2/12/2001,4201.3
2/13/2001,4201.3
2/14/2001,4201.4
2/15/2001,4201.3
2/16/2001,4201.3
2/17/2001,4201.3
2/18/2001,4201.3
2/19/2001,4201.3
2/20/2001,4201.3
2/21/2001,4201.3
2/22/2001,4201.3
2/23/2001,4201.4
2/24/2001,4201.4
2/25/2001,4201.4
2/26/2001,4201.4
2/27/2001,4201.4
2/28/2001,4201.4
3/1/2001,4201.4
3/2/2001,4201.4
3/3/2001,4201.4
3/4/2001,4201.4
3/5/2001,4201.4
3/6/2001,4201.4
3/7/2001,4201.4
3/8/2001,4201.4
3/9/2001,4201.5
3/10/2001,4201.5
3/11/2001,4201.6
3/12/2001,4201.5
3/13/2001,4201.4
3/14/2001,4201.6
3/15/2001,4201.4
3/16/2001,4201.5
3/17/2001,4201.5
3/18/2001,4201.4
3/19/2001,4201.4
3/20/2001,4201.5
3/21/2001,4201.5
3/22/2001,4201.5
3/23/2001,4201.5
3/24/2001,4201.5
3/25/2001,4201.5
3/26/2001,4201.5
3/27/2001,4201.5
3/28/2001,4201.5
3/29/2001,4201.5
3/30/2001,4201.5
3/31/2001,4201.5
4/1/2001,4201.5
4/2/2001,4201.5
4/3/2001,4201.5
4/4/2001,4201.5
4/5/2001,4201.5
4/6/2001,4201.4
4/7/2001,4201.3
4/8/2001,4201.5
4/9/2001,4201.6
4/10/2001,4201.7
4/11/2001,4201.5
4/12/2001,4201.6
4/13/2001,4201.5
4/14/2001,4201.5
4/15/2001,4201.5
4/16/2001,4201.5
4/17/2001,4201.5
4/18/2001,4201.4
4/19/2001,4201.5
4/20/2001,4201.5
4/21/2001,4201.5
4/22/2001,4201.7
4/23/2001,4201.5
4/24/2001,4201.5
4/25/2001,4201.5
4/26/2001,4201.5
4/27/2001,4201.4
4/28/2001,4201.4
4/29/2001,4201.5
4/30/2001,4201.4
5/1/2001,4201.6
5/2/2001,4201.6
5/3/2001,4201.6
5/4/2001,4201.4
5/5/2001,4201.4
5/6/2001,4201.4
5/7/2001,4201.4
5/8/2001,4201.3
5/9/2001,4201.4
5/10/2001,4201.3
5/11/2001,4201.3
5/12/2001,4201.3
5/13/2001,4201.2
5/14/2001,4201.3
5/15/2001,4201.3
5/16/2001,4201.3
5/17/2001,4201.3
5/18/2001,4201.3
5/19/2001,4201.3
5/20/2001,4201.5
5/21/2001,4201.3
5/22/2001,4201.2
5/23/2001,4201.2
5/24/2001,4201.2
5/25/2001,4201.2
5/26/2001,4201.2
5/27/2001,4201.2
5/28/2001,4201.2
5/29/2001,4201.2
5/30/2001,4201.2
5/31/2001,4201.1
6/1/2001,4201.1
6/2/2001,4201.1
6/3/2001,4201.2
6/4/2001,4201.1
6/5/2001,4201
6/6/2001,4201.1
6/7/2001,4201
6/8/2001,4201
6/9/2001,4201
6/10/2001,4200.9
6/11/2001,4201
6/12/2001,4201.1
6/13/2001,4201
6/14/2001,4201
6/15/2001,4200.9
6/16/2001,4200.9
6/17/2001,4200.9
6/18/2001,4201
6/19/2001,4200.9
6/20/2001,4200.9
6/21/2001,4200.9
6/22/2001,4200.8
6/23/2001,4200.8
6/24/2001,4200.7
6/25/2001,4200.8
6/26/2001,4200.7
6/27/2001,4200.7
6/28/2001,4200.7
6/29/2001,4200.7
6/30/2001,4200.7
7/1/2001,4200.7
7/2/2001,4200.7
7/3/2001,4200.6
7/4/2001,4200.6
7/5/2001,4200.6
7/6/2001,4200.6
7/7/2001,4200.6
7/8/2001,4200.6
7/9/2001,4200.6
7/10/2001,4200.5
7/11/2001,4200.5
7/12/2001,4200.5
7/13/2001,4200.5
7/14/2001,4200.4
7/15/2001,4200.4
7/16/2001,4200.3
7/17/2001,4200.3
7/18/2001,4200.4
7/19/2001,4200.3
7/20/2001,4200.2
7/21/2001,4200.2
7/22/2001,4200.3
7/23/2001,4200.3
7/24/2001,4200.2
7/25/2001,4200.2
7/26/2001,4200.2
7/27/2001,4200.2
7/28/2001,4200.2
7/29/2001,4200.2
7/30/2001,4200.2
7/31/2001,4200.1
8/1/2001,4200.1
8/2/2001,4200
8/3/2001,4200
8/4/2001,4200
8/5/2001,4200
8/6/2001,4200
8/7/2001,4200
8/8/2001,4200
8/9/2001,4200
8/10/2001,4199.9
8/11/2001,4199.9
8/12/2001,4199.9
8/13/2001,4199.9
8/14/2001,4199.8
8/15/2001,4199.9
8/16/2001,4199.8
8/17/2001,4199.8
8/18/2001,4199.8
8/19/2001,4199.8
8/20/2001,4199.7
8/21/2001,4199.5
8/22/2001,4199.6
8/23/2001,4199.7
8/24/2001,4199.7
8/25/2001,4199.7
8/26/2001,4199.6
8/27/2001,4199.6
8/28/2001,4199.6
8/29/2001,4199.6
8/30/2001,4199.6
8/31/2001,4199.6
9/1/2001,4199.5
9/2/2001,4199.5
9/3/2001,4199.5
9/4/2001,4199.5
9/5/2001,4199.4
9/6/2001,4199.6
9/7/2001,4199.5
9/8/2001,4199.5
9/9/2001,4199.4
9/10/2001,4199.4
9/11/2001,4199.4
9/12/2001,4199.4
9/13/2001,4199.4
9/14/2001,4199.4
9/15/2001,4199.3
9/16/2001,4199.4
9/17/2001,4199.3
9/18/2001,4199.3
9/19/2001,4199.3
9/20/2001,4199.3
9/21/2001,4199.2
9/22/2001,4199.2
9/23/2001,4199.2
9/24/2001,4199.2
9/25/2001,4199.2
9/26/2001,4199.2
9/27/2001,4199.2
9/28/2001,4199.1
9/29/2001,4199.2
9/30/2001,4199.2
10/1/2001,4199.11
10/2/2001,4199.1
10/3/2001,4199.1
10/4/2001,4199.11
10/5/2001,4199.12
10/6/2001,4199.04
10/7/2001,4199
10/8/2001,4199.03
10/9/2001,4199.14
10/10/2001,4198.98
10/11/2001,4199.11
10/12/2001,4198.96
10/13/2001,4198.97
10/14/2001,4198.92
10/15/2001,4198.93
10/16/2001,4198.9
10/17/2001,4198.91
10/18/2001,4198.91
10/19/2001,4198.86
10/20/2001,4198.87
10/21/2001,4198.85
10/22/2001,4198.85
10/23/2001,4199.11
10/24/2001,4198.86
10/25/2001,4198.8
10/26/2001,4198.8
10/27/2001,4198.8
10/28/2001,4198.8
10/29/2001,4198.8
10/30/2001,4198.76
10/31/2001,4198.83
11/1/2001,4198.81
11/2/2001,4198.8
11/3/2001,4198.8
11/4/2001,4198.8
11/5/2001,4198.8
11/6/2001,4198.8
11/7/2001,4198.88
11/8/2001,4198.84
11/9/2001,4198.8
11/10/2001,4198.8
11/11/2001,4198.8
11/12/2001,4198.8
11/13/2001,4198.83
11/14/2001,4198.8
11/15/2001,4198.8
11/16/2001,4198.8
11/17/2001,4198.83
11/18/2001,4198.83
11/19/2001,4198.8
11/20/2001,4198.81
11/21/2001,4198.81
11/22/2001,4198.86
11/23/2001,4198.96
11/24/2001,4198.76
11/25/2001,4199.06
11/26/2001,4198.98
11/27/2001,4198.99
11/28/2001,4198.89
11/29/2001,4198.91
11/30/2001,4198.95
12/1/2001,4198.93
12/2/2001,4198.86
12/3/2001,4198.96
12/4/2001,4199.04
12/5/2001,4198.87
12/6/2001,4199.03
12/7/2001,4199.12
12/8/2001,4199.05
12/9/2001,4199.09
12/10/2001,4199.13
12/11/2001,4199.1
12/12/2001,4199.09
12/13/2001,4199.03
12/14/2001,4199.12
12/15/2001,4199.19
12/16/2001,4199.11
12/17/2001,4199.13
12/18/2001,4199.13
12/19/2001,4199.13
12/20/2001,4199.16
12/21/2001,4199.16
12/22/2001,4199.13
12/23/2001,4199.16
12/24/2001,4199.17
12/25/2001,4199.12
12/26/2001,4199.14
12/27/2001,4199.15
12/28/2001,4199.14
12/29/2001,4199.14
12/30/2001,4199.16
12/31/2001,4199.16
1/1/2002,4199.18
1/2/2002,4199.17
1/3/2002,4199.18
1/4/2002,4199.18
1/5/2002,4199.18
1/6/2002,4199.18
1/7/2002,4199.19
1/8/2002,4199.19
1/9/2002,4199.2
1/10/2002,4199.2
1/11/2002,4199.2
1/12/2002,4199.19
1/13/2002,4199.22
1/14/2002,4199.2
1/15/2002,4199.23
1/16/2002,4199.22
1/17/2002,4199.2
1/18/2002,4199.25
1/19/2002,4199.19
1/20/2002,4199.2
1/21/2002,4199.16
1/22/2002,4199.29
1/23/2002,4199.21
1/24/2002,4199.2
1/25/2002,4199.23
1/26/2002,4199.21
1/27/2002,4199.22
1/28/2002,4199.35
1/29/2002,4199.32
1/30/2002,4199.31
1/31/2002,4199.29
2/1/2002,4199.28
2/2/2002,4199.29
2/3/2002,4199.29
2/4/2002,4199.29
2/5/2002,4199.29
2/6/2002,4199.28
2/7/2002,4199.28
2/8/2002,4199.38
2/9/2002,4199.3
2/10/2002,4199.29
2/11/2002,4199.29
2/12/2002,4199.3
2/13/2002,4199.3
2/14/2002,4199.31
2/15/2002,4199.3
2/16/2002,4199.3
2/17/2002,4199.3
2/18/2002,4199.31
2/19/2002,4199.3
2/20/2002,4199.32
2/21/2002,4199.34
2/22/2002,4199.35
2/23/2002,4199.38
2/24/2002,4199.44
2/25/2002,4199.49
2/26/2002,4199.38
2/27/2002,4199.38
2/28/2002,4199.5
3/1/2002,4199.53
3/2/2002,4199.42
3/3/2002,4199.4
3/4/2002,4199.4
3/5/2002,4199.4
3/6/2002,4199.36
3/7/2002,4199.35
3/8/2002,4199.66
3/9/2002,4199.4
3/10/2002,4199.4
3/11/2002,4199.4
3/12/2002,4199.38
3/13/2002,4199.46
3/14/2002,4199.56
3/15/2002,4199.47
3/16/2002,4199.44
3/17/2002,4199.51
3/18/2002,4199.53
3/19/2002,4199.43
3/20/2002,4199.46
3/21/2002,4199.5
3/22/2002,4199.5
3/23/2002,4199.48
3/24/2002,4199.54
